Lineage,Cross,Last_Passage,Mid_Glycerol,Last_Glycerol,Fertility_t0,Fertility_tmid,Fertility_tend,Ploidy_P0,Ploidy_P1,Ploidy_P7,Ploidy_P16,Ploidy_P35,GBS,illumina_p0,Illumina_p35
A1,BC,P35,P16,P35,,,,2,2,2,2,2,,0,
A10,BC,P35,P16,P35,0.260,0.208,0.146,3,3,3,3,3,P0,1,
A11,BC,P12,P16,P10,,,,2,2,2,NA,NA,,0,
A12,BC,P35,P16,P35,,,,3,3,3,2n~,¨,,0,
A13,BC,P35,P16,P35,,,,2,2,2,2,2,,0,
A14,BC,P35,P16,P35,,,,3,3,2,3,¨,,0,
A15,BC,P10,P16,P10,,,,3,3,3,NA,NA,,0,
A16,BC,P35,P16,P35,,,,3,3,3,3,3,,0,
A17,BC,P35,P16,P35,,,,2,2,2,2,2,,1,
A18,BC,P35,P16,P35,,,,3,3,3,3,3,,0,
A19,BC,P11,P16,P10,,,,2,2,2,NA,NA,,0,
A2,BC,P29,P16,P28,,,,3,3,3,3,NA,,0,
A20,BC,P35,P16,P35,,,,3,3,3,3,3,,1,
A21,BC,P10,P4,P10,0.302,0.302,0.313,2,2,2,NA,NA,,0,
A22,BC,P35,P16,P35,,,,3,3,3,3,3,,1,
A23,BC,P35,P16,P35,,,,3,3,3,3,3,,0,
A24,BC,P07,P16,P7,,,,2,2,2,NA,NA,,0,
A25,BC,P35,P16,P35,,,,3,3,3,3,3,,0,
A26,BC,P07,P4,P7,0.271,0.188,0.177,3,3,3,NA,NA,,0,
A27,BC,P35,P16,P35,,,,2,2,2,2,2,,0,
A28,BC,P11,P16,P10,,,,3,3,3,NA,NA,,0,
A29,BC,P07,P16,P7,,,,2,2,2,NA,NA,,0,
A3,BC,P35,P16,P35,0.229,0.229,0.271,3,3,3,3,3,P0,1,
A30,BC,P35,P16,P35,0.28125,0.552083333,0.489583333,2,2,2,2,2,,1,
A31,BC,P32,P16,P31,0.302,0.458,0.531,2,2,2,4,NA,,1,
A32,BC,P35,P16,P35,0.385416667,0.291666667,0.510416667,2,2,2,2,2,,0,
A33,BC,P10,P16,P10,,,,3,3,3,NA,NA,,0,
A34,BC,P35,P16,P35,0.281,0.208,0.333,2,2,2,2,2,P0,1,
A35,BC,P10,P16,P10,,,,2,2,2,NA,NA,,0,
A36,BC,P08,P4,P7,0.333,0.104,0.188,2,2,2,NA,NA,,0,
A37,BC,P35,P16,P35,,,,3,3,3,3,3,,1,
A38,BC,P07,P16,P7,,,,2,2,2,NA,NA,,0,
A39,BC,P11,P4,P10,0.385,0.271,0.438,2,2,2,NA,NA,,0,
A4,BC,P35,P16,P35,0.270833333,NA,NA,2,2,2,2,2,,0,
A40,BC,P35,P16,P35,,,,3,3,3,3,3,,0,
A41,BC,P35,P16,P35,0.270833333,0.166666667,0.072916667,2,2,2,2,2,,1,
A42,BC,P35,P16,P35,,,,2,2,2,2,2,,0,
A43,BC,P07,P4,P7,0.344,0.365,0.448,2,2,2,NA,NA,,0,
A44,BC,P35,P16,P35,,,,3,3,3,3,3,,0,
A45,BC,P35,P16,P35,0.25,0.197916667,0.21875,2,2,2,2,2,,0,
A46,BC,P35,P16,P35,0.427083333,0.385416667,0.4375,2,2,2,2,2,,0,
A47,BC,P07,P16,P7,,,,2,2,2,NA,NA,,0,
A48,BC,P35,P16,P35,,,,3,3,3,3,3,,1,
A49,BC,P35,P16,P35,,,,2,2,2,2,2,,0,
A5,BC,P10,P16,P10,,,,2,2,2,NA,NA,,0,
A50,BC,P35,P16,P35,0.271,0.125,0.208,3,3,3,3,3,,1,
A51,BC,P35,P16,P35,0.354,0.833,0.906,2,2,2,4,4,P0 + P35,1,
A52,BC,P35,P16,P35,,,,3,3,3,3,3,,0,
A53,BC,P07,P16,P7,,,,2,2,2,NA,NA,,0,
A54,BC,P35,P16,P35,,,,3,3,3,3,3,,0,
A55,BC,P35,P16,P35,0.375,0.104,0.333,3,3,2,3,3,P0,1,
A56,BC,P07,P16,P7,,,,3,3,2,NA,NA,,0,
A57,BC,P07,P16,P7,,,,2,2,2,NA,NA,,0,
A58,BC,P35,P16,P35,,,,3,3,3,3,3,,0,
A59,BC,P35,P16,P35,,,,2,2,2,2,2,,0,
A6,BC,P35,P16,P35,,,,2,2,2,2,2,,1,
A60,BC,P10,P16,P10,,,,3,3,3,NA,NA,,0,
A61,BC,P35,P16,P35,,,,2,2,2,2,2,,1,
A62,BC,P35,P16,P35,,,,3,3,3,2,3,,1,
A63,BC,P35,P16,P35,0.1875,0.291666667,0.385416667,2,2,3,2,2,,0,
