,plate,plate_glycerol,row,col,cross_letter,cross,genotype,strain_num,passage,contamination,strain,R,G,B,H,S,V,size,circularity,singularity,size_glyc,circularity_glyc,singularity_glyc,size_glyc_bin,bgd
1,IMG_070_crop.JPG,IMG_098_crop.JPG,1,0,B,M1,M,1,0,1,B1,0.41644099149093583,0.2554938956714763,0.16825749167591555,0.061226851518891325,0.5937965063209796,0.41644099149093583,10.970824901362617,False,False,9.236014191900084,False,False,"(8.283, 9.939]",False
3,IMG_070_crop.JPG,IMG_098_crop.JPG,3,0,B,M1,M,2,0,1,B2,0.34490904795653154,0.2464446019371603,0.16007559650366154,0.07938926612399391,0.5333126406158087,0.34490904795653154,10.018200178813226,False,False,9.469641817239516,False,False,"(8.283, 9.939]",False
4,IMG_070_crop.JPG,IMG_098_crop.JPG,4,0,A,L1,L,3,0,1,A3,0.421950980392157,0.2762647058823528,0.18280392156862782,0.06979975553297925,0.563957415358339,0.421950980392157,10.28886607416582,False,False,9.69522829149575,False,False,"(8.283, 9.939]",False
6,IMG_070_crop.JPG,IMG_098_crop.JPG,6,0,A,L1,L,4,0,1,A4,0.4949081203161897,0.2697977620367526,0.18560722718406777,0.04537184722809651,0.625118872463153,0.4949081203161897,11.88149638481011,False,False,9.353146825498083,False,False,"(8.283, 9.939]",False
7,IMG_070_crop.JPG,IMG_098_crop.JPG,7,0,B,M1,M,4,0,1,B4,0.4740209657270114,0.23177448264624442,0.14681440443213323,0.043251336814162426,0.6905430576718163,0.4740209657270114,11.895575282380685,False,False,9.432541900388259,False,False,"(8.283, 9.939]",False
8,IMG_070_crop.JPG,IMG_098_crop.JPG,8,0,A,L1,L,5,0,1,A5,0.4706264323911383,0.2702444614209325,0.17533740769034892,0.05360014280506923,0.6275569622694926,0.4706264323911383,11.532355925288847,False,False,8.873444112515376,False,False,"(8.283, 9.939]",False
9,IMG_070_crop.JPG,IMG_098_crop.JPG,9,0,B,M1,M,5,0,1,B5,0.4616350243801223,0.22774146695715397,0.1409171075837745,0.04510122538163586,0.6951874583876847,0.4616350243801223,11.786678033890652,False,False,9.319672120946995,False,False,"(8.283, 9.939]",False
10,IMG_070_crop.JPG,IMG_098_crop.JPG,10,0,A,L1,L,6,0,1,A6,0.4769484264293946,0.25512165650573987,0.16600208710935369,0.04774689020303098,0.6520249460552985,0.4769484264293946,11.572700226487292,False,False,9.25502856981873,False,False,"(8.283, 9.939]",False
11,IMG_070_crop.JPG,IMG_098_crop.JPG,11,0,B,M1,M,6,0,1,B6,0.4639718451483157,0.22993464052287596,0.14730015082956296,0.043527791790507635,0.6827822188530631,0.4639718451483157,11.762382038710392,False,False,9.509775004326936,False,False,"(8.283, 9.939]",False
12,IMG_070_crop.JPG,IMG_098_crop.JPG,12,0,A,L1,L,7,0,1,A7,0.4773813350476787,0.2622093646201649,0.17996357012750486,0.04609686263225763,0.623057758162901,0.4773813350476787,11.565102078360313,False,False,8.930737337562887,False,False,"(8.283, 9.939]",False
13,IMG_070_crop.JPG,IMG_098_crop.JPG,13,0,B,M1,M,7,0,1,B7,0.46099312452253527,0.23530430353959872,0.14919276801629777,0.04598375296386897,0.6764822609895829,0.46099312452253527,11.788718332690458,False,False,9.52552080909507,False,False,"(8.283, 9.939]",False
14,IMG_070_crop.JPG,IMG_098_crop.JPG,14,0,A,L1,L,8,0,1,A8,0.4773028635914798,0.2976583439131049,0.20358301594018918,0.057348780059717636,0.5738696829302029,0.4773028635914798,11.032734528586714,False,False,9.550746785383243,False,False,"(8.283, 9.939]",False
