# gitter v1.1.1 data file generated on Wed May 29 03:23:54 2019
# Warning possible misgridding: high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	4455	0.352	S,C
1	2	1570	0.7509	
1	3	2896	0.8619	
1	4	1430	0.8099	
1	5	2960	0.8524	
1	6	1196	0.415	C
1	7	2922	0.886	
1	8	1457	0.8367	
1	9	2872	0.8809	
1	10	1276	0.576	C
1	11	2932	0.8511	
1	12	0	NA	
1	13	3099	0.8805	
1	14	1776	0.8107	
1	15	3375	0.8832	
1	16	813	0.7672	
1	17	3321	0.8663	
1	18	1058	0.5861	C
1	19	3011	0.881	
1	20	1524	0.6823	
1	21	3392	0.8849	
1	22	1161	0.4609	C
1	23	3330	0.8584	
1	24	1666	0.1061	S,C
2	1	1802	0.8077	
2	2	777	0.6986	
2	3	566	0.886	
2	4	1960	0.9063	
2	5	404	0.6051	
2	6	0	NA	
2	7	1759	0.7907	
2	8	1382	0.8598	
2	9	1492	0.8625	
2	10	1730	0.8292	
2	11	1536	0.6399	
2	12	1126	0.6821	
2	13	1934	0.8373	
2	14	1070	0.8329	
2	15	0	NA	
2	16	0	NA	
2	17	1656	0.7712	
2	18	0	NA	
2	19	0	NA	
2	20	0	NA	
2	21	1359	0.7871	
2	22	1932	0.75	
2	23	1148	0.7735	
2	24	5729	0.1267	C
3	1	3947	0.8908	
3	2	0	NA	
3	3	3588	0.844	
3	4	891	0.8323	
3	5	3471	0.9007	
3	6	0	NA	
3	7	3369	0.8971	
3	8	639	0.8044	
3	9	3205	0.8581	
3	10	395	0.8422	
3	11	3422	0.8852	
3	12	237	0.8946	
3	13	3268	0.9111	
3	14	722	0.6666	
3	15	3677	0.8782	
3	16	838	0.7447	
3	17	3558	0.9115	
3	18	1011	0.8142	
3	19	3476	0.88	
3	20	787	0.7691	
3	21	3720	0.8626	
3	22	825	0.8132	
3	23	3880	0.8731	
3	24	977	0.7022	
4	1	1357	0.8024	
4	2	852	0.8276	
4	3	0	NA	
4	4	600	0.9103	
4	5	847	0.7993	
4	6	0	NA	
4	7	255	0.8196	
4	8	892	0.8119	
4	9	169	0.9768	
4	10	669	0.6643	
4	11	1348	0.8386	
4	12	0	NA	
4	13	1643	0.798	
4	14	779	0.7958	
4	15	718	0.7226	
4	16	947	0.7145	
4	17	0	NA	
4	18	649	0.9378	
4	19	791	0.7605	
4	20	1604	0.7386	
4	21	697	0.8727	
4	22	539	0.8897	
4	23	0	NA	
4	24	1778	0.8236	
5	1	4121	0.8827	
5	2	0	NA	
5	3	3670	0.8721	
5	4	1029	0.8116	
5	5	3287	0.8733	
5	6	1151	0.8409	
5	7	3648	0.8274	
5	8	1004	0.6372	
5	9	3517	0.8876	
5	10	1606	0.7688	
5	11	3429	0.9251	
5	12	710	0.8521	
5	13	3577	0.8981	
5	14	711	0.5934	C
5	15	3767	0.8562	
5	16	413	0.6948	
5	17	3804	0.9105	
5	18	592	0.8536	
5	19	3416	0.877	
5	20	584	0.4839	C
5	21	3648	0.8913	
5	22	905	0.7528	
5	23	3554	0.8747	
5	24	1053	0.7266	
6	1	0	NA	
6	2	0	NA	
6	3	1405	0.8598	
6	4	217	0.8683	
6	5	267	0.8814	
6	6	0	NA	
6	7	669	0.3852	C
6	8	0	NA	
6	9	402	0.5068	C
6	10	901	0.8452	
6	11	616	0.6343	
6	12	350	0.4125	C
6	13	0	NA	
6	14	817	0.8152	
6	15	1126	0.8093	
6	16	821	0.7126	
6	17	183	0.5196	C
6	18	1551	0.8526	
6	19	499	0.6997	
6	20	941	0.7979	
6	21	1430	0.801	
6	22	1494	0.7964	
6	23	1274	0.7926	
6	24	1977	0.8081	
7	1	4071	0.8661	
7	2	0	NA	
7	3	3287	0.8402	
7	4	1883	0.7475	
7	5	2929	0.9164	
7	6	1995	0.8297	
7	7	2975	0.8846	
7	8	1869	0.5686	C
7	9	2873	0.8863	
7	10	2068	0.7882	
7	11	3077	0.9127	
7	12	1156	0.808	
7	13	3162	0.8835	
7	14	1132	0.7042	
7	15	3842	0.8671	
7	16	999	0.5189	C
7	17	2807	0.6923	
7	18	851	0.542	C
7	19	3496	0.9071	
7	20	772	0.6872	
7	21	3570	0.8851	
7	22	1248	0.6936	
7	23	3959	0.9062	
7	24	1653	0.5674	C
8	1	0	NA	
8	2	396	0.9615	
8	3	1272	0.4066	C
8	4	1142	0.6989	
8	5	673	0.8941	
8	6	0	NA	
8	7	1701	0.8108	
8	8	712	0.9145	
8	9	1842	0.8339	
8	10	1009	0.8126	
8	11	1529	0.8498	
8	12	0	NA	
8	13	2284	0.8594	
8	14	1148	0.6734	
8	15	2395	0.8729	
8	16	1264	0.8326	
8	17	522	0.3501	C
8	18	956	0.6396	
8	19	316	0.8372	
8	20	988	0.7621	
8	21	113	0.935	
8	22	351	0.8522	
8	23	594	0.7705	
8	24	583	0.9369	
9	1	3557	0.8746	
9	2	2322	0.7985	
9	3	3558	0.9067	
9	4	2173	0.2502	C
9	5	2654	0.8697	
9	6	2071	0.2063	C
9	7	2793	0.8688	
9	8	2331	0.8874	
9	9	2732	0.8794	
9	10	2719	0.8607	
9	11	2727	0.88	
9	12	2075	0.6958	
9	13	2980	0.8642	
9	14	2490	0.9085	
9	15	3213	0.8949	
9	16	455	0.5363	C
9	17	3329	0.9129	
9	18	2523	0.8607	
9	19	2674	0.865	
9	20	2366	0.8476	
9	21	3432	0.9001	
9	22	714	0.6778	
9	23	3720	0.908	
9	24	1657	0.549	C
10	1	3379	0.8491	
10	2	1002	0.7729	
10	3	2759	0.889	
10	4	152	0.9106	
10	5	969	0.4266	C
10	6	0	NA	
10	7	2843	0.9022	
10	8	591	0.4043	C
10	9	2381	0.857	
10	10	0	NA	
10	11	2515	0.8839	
10	12	713	0.6826	
10	13	2356	0.8742	
10	14	0	NA	
10	15	2028	0.7792	
10	16	338	0.4568	C
10	17	2303	0.846	
10	18	365	0.8152	
10	19	2541	0.8585	
10	20	0	NA	
10	21	2347	0.8719	
10	22	813	0.6558	
10	23	3190	0.8893	
10	24	2029	0.7076	
11	1	3181	0.859	
11	2	2080	0.805	
11	3	2356	0.8922	
11	4	1880	0.2324	C
11	5	2979	0.8929	
11	6	2191	0.5585	C
11	7	1810	0.8369	
11	8	2204	0.9049	
11	9	2236	0.8703	
11	10	2358	0.8487	
11	11	2499	0.9085	
11	12	2383	0.899	
11	13	2818	0.8766	
11	14	2372	0.8537	
11	15	3019	0.908	
11	16	2618	0.857	
11	17	2871	0.9242	
11	18	2720	0.6307	
11	19	2674	0.899	
11	20	2353	0.8644	
11	21	2719	0.8964	
11	22	2357	0.3014	C
11	23	3269	0.8916	
11	24	2343	0.2767	C
12	1	3463	0.8767	
12	2	2196	0.8882	
12	3	2842	0.9126	
12	4	2154	0.8462	
12	5	1744	0.8685	
12	6	1439	0.4884	C
12	7	2810	0.8843	
12	8	2560	0.903	
12	9	2334	0.857	
12	10	2149	0.8658	
12	11	2038	0.7599	
12	12	2325	0.8496	
12	13	1113	0.5289	C
12	14	1355	0.4738	C
12	15	1045	0.7488	
12	16	2078	0.6154	
12	17	1676	0.8361	
12	18	0	NA	
12	19	2190	0.8414	
12	20	1451	0.4032	C
12	21	1836	0.7517	
12	22	1739	0.6378	
12	23	2952	0.8777	
12	24	2092	0.7126	
13	1	2986	0.8837	
13	2	1941	0.7675	
13	3	2401	0.8619	
13	4	1773	0.8059	
13	5	1496	0.8072	
13	6	1774	0.6118	
13	7	2153	0.8825	
13	8	1653	0.8717	
13	9	2521	0.8738	
13	10	2082	0.8816	
13	11	2444	0.8829	
13	12	1748	0.863	
13	13	2634	0.9097	
13	14	0	NA	
13	15	2664	0.8782	
13	16	2181	0.894	
13	17	2605	0.8887	
13	18	1999	0.8665	
13	19	2635	0.8626	
13	20	2157	0.7792	
13	21	2780	0.8478	
13	22	2023	0.2161	C
13	23	2794	0.8972	
13	24	2238	0.2672	C
14	1	3060	0.843	
14	2	2020	0.8746	
14	3	2813	0.9011	
14	4	2835	0.8526	
14	5	2614	0.8713	
14	6	2240	0.8752	
14	7	1879	0.8839	
14	8	3173	0.8769	
14	9	2500	0.9055	
14	10	2784	0.8732	
14	11	2476	0.8968	
14	12	2485	0.8756	
14	13	2657	0.8625	
14	14	2297	0.8892	
14	15	2820	0.8853	
14	16	2230	0.8476	
14	17	2024	0.8823	
14	18	2212	0.8781	
