# gitter v1.1.1 data file generated on Wed May 29 03:24:03 2019
# Warning possible misgridding: high count of small colony sizes, high count of low colony circularity
# Flags: S - Colony spill or edge interference, C - Low colony circularity
# row	col	size	circularity	flags
1	1	2550	0.8257	
1	2	2114	0.7679	
1	3	2505	0.8036	
1	4	1515	0.7728	
1	5	2281	0.8707	
1	6	1266	0.7114	
1	7	2270	0.8388	
1	8	1413	0.758	
1	9	2300	0.8644	
1	10	772	0.6647	
1	11	1987	0.832	
1	12	0	NA	
1	13	3169	0.8311	
1	14	1399	0.6546	
1	15	2109	0.8349	
1	16	506	0.9607	
1	17	3024	0.862	
1	18	1589	0.6802	
1	19	2529	0.7913	
1	20	0	NA	
1	21	1460	0.844	
1	22	0	NA	
1	23	0	NA	
1	24	2245	0.1659	C
2	1	2124	0.9056	
2	2	1618	0.8404	
2	3	1298	0.789	
2	4	1939	0.8155	
2	5	1260	0.7865	
2	6	1319	0.85	
2	7	1692	0.8243	
2	8	1481	0.8205	
2	9	1367	0.7682	
2	10	2098	0.7915	
2	11	1649	0.7683	
2	12	0	NA	
2	13	2085	0.8299	
2	14	1966	0.868	
2	15	0	NA	
2	16	0	NA	
2	17	921	0.7717	
2	18	2535	0.8132	
2	19	0	NA	
2	20	988	0.9009	
2	21	1017	0.9038	
2	22	2618	0.8163	
2	23	1868	0.8456	
2	24	1573	0.8868	
3	1	1961	0.6731	
3	2	402	0.8839	
3	3	0	NA	
3	4	684	0.931	
3	5	3049	0.8772	
3	6	495	0.9342	
3	7	1309	0.7462	
3	8	562	0.9276	
3	9	2741	0.7949	
3	10	636	0.6566	
3	11	3151	0.8327	
3	12	916	0.8141	
3	13	1823	0.8138	
3	14	437	0.9462	
3	15	1733	0.8226	
3	16	1020	0.7491	
3	17	2009	0.7944	
3	18	0	NA	
3	19	2423	0.7827	
3	20	0	NA	
3	21	1890	0.8739	
3	22	58	0.9598	
3	23	1829	0.8015	
3	24	900	0.9433	
4	1	845	0.9436	
4	2	726	0.9216	
4	3	0	NA	
4	4	1970	0.8491	
4	5	878	0.8914	
4	6	0	NA	
4	7	694	0.8013	
4	8	1417	0.7814	
4	9	1662	0.7676	
4	10	1782	0.8458	
4	11	1315	0.8237	
4	12	1546	0.7454	
4	13	1543	0.7906	
4	14	2131	0.7837	
4	15	504	0.9063	
4	16	1705	0.7861	
4	17	729	0.7758	
4	18	1038	0.9187	
4	19	1841	0.7546	
4	20	1922	0.5999	C
4	21	0	NA	
4	22	764	0.8963	
4	23	652	0.9541	
4	24	1495	0.8467	
5	1	3576	0.8801	
5	2	0	NA	
5	3	2488	0.8699	
5	4	1323	0.7724	
5	5	2848	0.8706	
5	6	1376	0.6924	
5	7	3665	0.878	
5	8	630	0.8879	
5	9	0	NA	
5	10	720	0.7215	
5	11	3392	0.8992	
5	12	369	0.9322	
5	13	3382	0.885	
5	14	327	0.8751	
5	15	3742	0.853	
5	16	0	NA	
5	17	1742	0.7909	
5	18	528	0.9439	
5	19	2035	0.7964	
5	20	0	NA	
5	21	1603	0.8704	
5	22	0	NA	
5	23	2679	0.7569	
5	24	0	NA	
6	1	443	0.8361	
6	2	1576	0.8311	
6	3	0	NA	
6	4	1802	0.8962	
6	5	707	0.6446	
6	6	852	0.8206	
6	7	318	0.9095	
6	8	987	0.7993	
6	9	813	0.6683	
6	10	2083	0.7572	
6	11	369	0.8004	
6	12	913	0.7069	
6	13	596	0.6219	
6	14	329	0.9752	
6	15	1127	0.8395	
6	16	944	0.7959	
6	17	443	0.8361	
6	18	2051	0.8186	
6	19	479	0.9847	
6	20	855	0.94	
6	21	0	NA	
6	22	956	0.8931	
6	23	0	NA	
6	24	1133	0.8072	
7	1	3531	0.8451	
7	2	2074	0.7845	
7	3	2968	0.9179	
7	4	2035	0.8334	
7	5	2790	0.8823	
7	6	0	NA	
7	7	3246	0.8671	
7	8	2299	0.8442	
7	9	3487	0.9235	
7	10	0	NA	
7	11	3160	0.9091	
7	12	0	NA	
7	13	3564	0.9159	
7	14	315	0.9507	
7	15	3640	0.8847	
7	16	375	0.9255	
7	17	2998	0.8843	
7	18	0	NA	
7	19	3981	0.8852	
7	20	0	NA	
7	21	3568	0.8576	
7	22	0	NA	
7	23	4026	0.8353	
7	24	0	NA	
8	1	1705	0.8443	
8	2	2590	0.8458	
8	3	477	0.4264	C
8	4	2577	0.8445	
8	5	715	0.3556	C
8	6	1474	0.674	
8	7	867	0.7705	
8	8	1420	0.7386	
8	9	934	0.6548	
8	10	1947	0.8079	
8	11	322	0.579	C
8	12	1578	0.8233	
8	13	960	0.7672	
8	14	2321	0.8522	
8	15	0	NA	
8	16	2303	0.7577	
8	17	474	0.8746	
8	18	1805	0.7185	
8	19	61	1.073	
8	20	985	0.8633	
8	21	50	0.9194	
8	22	0	NA	
8	23	0	NA	
8	24	2686	0.7896	
9	1	3054	0.8836	
9	2	2416	0.7957	
9	3	3017	0.8828	
9	4	2090	0.5878	C
9	5	2674	0.9155	
9	6	2014	0.8123	
9	7	2917	0.8969	
9	8	2528	0.8084	
9	9	2940	0.8987	
9	10	2395	0.8576	
9	11	3135	0.8829	
9	12	1317	0.7787	
9	13	3257	0.8952	
9	14	1612	0.734	
9	15	3874	0.7426	
9	16	1462	0.4372	C
9	17	3917	0.884	
9	18	389	0.9293	
9	19	3793	0.8851	
9	20	0	NA	
9	21	3695	0.9039	
9	22	0	NA	
9	23	4173	0.86	
9	24	0	NA	
10	1	3033	0.91	
10	2	2931	0.8645	
10	3	2562	0.8656	
10	4	2350	0.8753	
10	5	307	0.6505	
10	6	2100	0.8943	
10	7	2443	0.8564	
10	8	2173	0.8931	
10	9	2438	0.8524	
10	10	2196	0.8501	
10	11	0	NA	
10	12	2713	0.8891	
10	13	2782	0.8583	
10	14	2431	0.8522	
10	15	2931	0.6454	
10	16	217	0.2348	S,C
10	17	0	NA	
10	18	310	0.8587	
10	19	817	0.4716	C
10	20	2588	0.8156	
10	21	2131	0.763	
10	22	0	NA	
10	23	1819	0.8293	
10	24	2314	0.7412	
11	1	3635	0.87	
11	2	2203	0.417	C
11	3	2579	0.8875	
11	4	1630	0.1932	C
11	5	2602	0.9042	
11	6	2093	0.5754	C
11	7	2087	0.8626	
11	8	0	NA	
11	9	2462	0.903	
11	10	2097	0.8653	
11	11	2696	0.9063	
11	12	2067	0.8949	
11	13	3192	0.8822	
11	14	510	0.6398	
11	15	3423	0.875	
11	16	2555	0.8739	
11	17	3468	0.8617	
11	18	0	NA	
11	19	3339	0.9057	
11	20	114	0.9044	
11	21	3332	0.86	
11	22	1881	0.7262	
11	23	3394	0.8703	
11	24	2717	0.6107	
12	1	0	NA	
12	2	3632	0.8338	
12	3	2965	0.8845	
12	4	2385	0.8638	
12	5	1942	0.8525	
12	6	2301	0.9184	
12	7	2578	0.8357	
12	8	2673	0.9064	
12	9	2326	0.8752	
12	10	2793	0.8938	
12	11	0	NA	
12	12	1951	0.7286	
12	13	2242	0.8535	
12	14	2935	0.9067	
12	15	1390	0.6645	
12	16	2783	0.8707	
12	17	2980	0.8554	
12	18	1203	0.5717	C
12	19	174	0.5699	C
12	20	2978	0.8804	
12	21	2520	0.8442	
12	22	2733	0.8894	
12	23	0	NA	
12	24	2976	0.8389	
