well,strain,time,sporulation,rnl,atp6
2,A75,Tinit,+,+,+
3,C74,Tinit,+,+,+
4,A79,Tinit,+,+,+
5,C83,Tinit,+,+,+
6,B67,Tinit,+,+,+
7,D67,Tinit,+,+,+
8,C24,Tinit,+,+,+
9,E23,Tinit,+,+,+
10,C31,Tinit,+,+,+
11,E25,Tinit,+,+,+
12,C34,Tinit,+,+,+
13,E34,Tinit,+,+,+
14,C38,Tinit,+,+,+
15,E62,Tinit,+,+,+
16,C51,Tinit,-,-,+
17,E65,Tinit,+,+,+
18,E70,Tinit,+,+,+
19,F69,Tinit,+,+,+
20,E81,Tinit,+,+,+
21,F76,Tinit,+,+,+
22,F12,Tinit,+,+,+
23,F8,Tinit,+,+,+
24,F15,Tinit,+,+,+
25,F80,Tinit,+,+,+
26,F20,Tinit,+,+,+
27,F90,Tinit,+,+,+
28,F21,Tinit,+,+,+
29,H23,Tinit,+,+,+
30,F48,Tinit,+,+,+
31,H30,Tinit,+,+,+
32,F65,Tinit,+,+,+
33,I3,Tinit,+,+,+
2,A36,Tinit,+,+,+
3,A75,Tfin,-,-,-
4,B24,Tinit,+,+,+
5,A79,Tfin,-,-,-
6,D10,Tinit,+,+,+
7,B67,Tfin,-,-,-
8,E42,Tinit,+,+,+
9,C24,Tfin,-,+,+
10,C10,Tinit,+,+,+
11,C31,Tfin,-,-,-
12,F23,Tinit,+,+,+
13,C34,Tfin,-,-,-
14,H3,Tinit,+,+,+
15,C38,Tfin,-,-,-
16,I15,Tinit,+,+,+
17,C51,Tfin,-,-,+
18,C74,Tfin,-,-,-
19,E70,Tfin,-,+,-
20,C83,Tfin,-,-,-
21,E81,Tfin,-,+,+
22,D67,Tfin,-,-,-
23,F12,Tfin,-,+,-
24,E23,Tfin,-,-,-
25,F15,Tfin,-,-,-
26,E25,Tfin,-,-,-
27,F20,Tfin,-,+,-
28,E34,Tfin,-,-,-
29,F21,Tfin,-,+,-
30,E62,Tfin,-,-,-
31,F48,Tfin,-,-,-
32,E65,Tfin,-,-,-
33,F65,Tfin,-,+,-
2,F69,Tfin,-,+,-
3,A36,Tfin,+,+,+
4,F76,Tfin,-,+,-
5,B24,Tfin,+,+,+
6,F8,Tfin,-,-,-
7,D10,Tfin,+,+,+
8,F80,Tfin,-,-,-
9,E42,Tfin,+,+,+
10,F90,Tfin,-,-,-
11,C10,Tfin,+,+,+
12,H23,Tfin,-,-,-
13,F23,Tfin,+,+,+
14,H30,Tfin,-,-,-
15,H3,Tfin,+,+,+
16,I3,Tfin,-,+,+
17,I15,Tfin,+,+,+
