plate,plate_glycerol,row,col,cross_letter,cross,genotype,strain_num,passage,contamination
IMG_070_crop.JPG,IMG_098_crop.JPG,0,0,A,L1,L,1,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,0,B,M1,M,1,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,0,A,L1,L,2,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,0,B,M1,M,2,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,0,A,L1,L,3,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,0,B,M1,M,3,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,0,A,L1,L,4,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,0,B,M1,M,4,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,0,A,L1,L,5,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,9,0,B,M1,M,5,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,10,0,A,L1,L,6,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,11,0,B,M1,M,6,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,12,0,A,L1,L,7,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,13,0,B,M1,M,7,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,14,0,A,L1,L,8,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,15,0,B,M1,M,8,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,0,1,C,H1,H,1,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,1,1,D,L2,L,1,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,2,1,C,H1,H,2,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,3,1,D,L2,L,2,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,4,1,C,H1,H,3,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,5,1,D,L2,L,3,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,6,1,C,H1,H,4,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,7,1,D,L2,L,4,0,1
IMG_070_crop.JPG,IMG_098_crop.JPG,8,1,C,H1,H,5,0,1
